{1Black1Blue1Red};{(1,Red).(1,Black).(1,Blue)};{(1,Orange)}
{9Black10Black11Black12Black};{(9,Black).(10,Black).(11,Black).(12,Black)};{(13,Black).(8,Black)}
{10Black11Black12Black13Black};{(10,Black).(11,Black).(12,Black).(13,Black)};{(9,Black)}
{1Blue2Blue3Blue4Blue};{(1,Blue).(2,Blue).(3,Blue).(4,Blue)};{(5,Blue)}
{2Blue3Blue4Blue5Blue};{(2,Blue).(3,Blue).(4,Blue).(5,Blue)};{(6,Blue).(1,Blue)}
{3Blue4Blue5Blue6Blue};{(3,Blue).(4,Blue).(5,Blue).(6,Blue)};{(7,Blue).(2,Blue)}
{4Blue5Blue6Blue7Blue};{(4,Blue).(5,Blue).(6,Blue).(7,Blue)};{(8,Blue).(3,Blue)}
{5Blue6Blue7Blue8Blue};{(5,Blue).(6,Blue).(7,Blue).(8,Blue)};{(9,Blue).(4,Blue)}
{6Blue7Blue8Blue9Blue};{(6,Blue).(7,Blue).(8,Blue).(9,Blue)};{(10,Blue).(5,Blue)}
{7Blue8Blue9Blue10Blue};{(7,Blue).(8,Blue).(9,Blue).(10,Blue)};{(11,Blue).(6,Blue)}
{8Blue9Blue10Blue11Blue};{(8,Blue).(9,Blue).(10,Blue).(11,Blue)};{(12,Blue).(7,Blue)}
{9Blue10Blue11Blue12Blue};{(9,Blue).(10,Blue).(11,Blue).(12,Blue)};{(13,Blue).(8,Blue)}
{10Blue11Blue12Blue13Blue};{(10,Blue).(11,Blue).(12,Blue).(13,Blue)};{(9,Blue)}
{1Orange2Orange3Orange4Orange};{(1,Orange).(2,Orange).(3,Orange).(4,Orange)};{(5,Orange)}
{2Orange3Orange4Orange5Orange};{(2,Orange).(3,Orange).(4,Orange).(5,Orange)};{(6,Orange).(1,Orange)}
{3Orange4Orange5Orange6Orange};{(3,Orange).(4,Orange).(5,Orange).(6,Orange)};{(7,Orange).(2,Orange)}
{4Orange5Orange6Orange7Orange};{(4,Orange).(5,Orange).(6,Orange).(7,Orange)};{(8,Orange).(3,Orange)}
{5Orange6Orange7Orange8Orange};{(5,Orange).(6,Orange).(7,Orange).(8,Orange)};{(9,Orange).(4,Orange)}
{6Orange7Orange8Orange9Orange};{(6,Orange).(7,Orange).(8,Orange).(9,Orange)};{(10,Orange).(5,Orange)}
{7Orange8Orange9Orange10Orange};{(7,Orange).(8,Orange).(9,Orange).(10,Orange)};{(11,Orange).(6,Orange)}
{8Orange9Orange10Orange11Orange};{(8,Orange).(9,Orange).(10,Orange).(11,Orange)};{(12,Orange).(7,Orange)}
{9Orange10Orange11Orange12Orange};{(9,Orange).(10,Orange).(11,Orange).(12,Orange)};{(13,Orange).(8,Orange)}
{10Orange11Orange12Orange13Orange};{(10,Orange).(11,Orange).(12,Orange).(13,Orange)};{(9,Orange)}
{1Red2Red3Red4Red5Red};{(1,Red).(2,Red).(3,Red).(4,Red).(5,Red)};{(6,Red)}
{2Red3Red4Red5Red6Red};{(2,Red).(3,Red).(4,Red).(5,Red).(6,Red)};{(7,Red).(1,Red)}
{3Red4Red5Red6Red7Red};{(3,Red).(4,Red).(5,Red).(6,Red).(7,Red)};{(8,Red).(2,Red)}
{4Red5Red6Red7Red8Red};{(4,Red).(5,Red).(6,Red).(7,Red).(8,Red)};{(9,Red).(3,Red)}
{5Red6Red7Red8Red9Red};{(5,Red).(6,Red).(7,Red).(8,Red).(9,Red)};{(10,Red).(4,Red)}
{6Red7Red8Red9Red10Red};{(6,Red).(7,Red).(8,Red).(9,Red).(10,Red)};{(11,Red).(5,Red)}
{7Red8Red9Red10Red11Red};{(7,Red).(8,Red).(9,Red).(10,Red).(11,Red)};{(12,Red).(6,Red)}
{8Red9Red10Red11Red12Red};{(8,Red).(9,Red).(10,Red).(11,Red).(12,Red)};{(13,Red).(7,Red)}
{9Red10Red11Red12Red13Red};{(9,Red).(10,Red).(11,Red).(12,Red).(13,Red)};{(8,Red)}
{1Black2Black3Black4Black5Black};{(1,Black).(2,Black).(3,Black).(4,Black).(5,Black)};{(6,Black)}
{2Black3Black4Black5Black6Black};{(2,Black).(3,Black).(4,Black).(5,Black).(6,Black)};{(7,Black).(1,Black)}
{3Black4Black5Black6Black7Black};{(3,Black).(4,Black).(5,Black).(6,Black).(7,Black)};{(8,Black).(2,Black)}
{4Black5Black6Black7Black8Black};{(4,Black).(5,Black).(6,Black).(7,Black).(8,Black)};{(9,Black).(3,Black)}
{5Black6Black7Black8Black9Black};{(5,Black).(6,Black).(7,Black).(8,Black).(9,Black)};{(10,Black).(4,Black)}
{6Black7Black8Black9Black10Black};{(6,Black).(7,Black).(8,Black).(9,Black).(10,Black)};{(11,Black).(5,Black)}
{7Black8Black9Black10Black11Black};{(7,Black).(8,Black).(9,Black).(10,Black).(11,Black)};{(12,Black).(6,Black)}
{8Black9Black10Black11Black12Black};{(8,Black).(9,Black).(10,Black).(11,Black).(12,Black)};{(13,Black).(7,Black)}
{9Black10Black11Black12Black13Black};{(9,Black).(10,Black).(11,Black).(12,Black).(13,Black)};{(8,Black)}
{1Blue2Blue3Blue4Blue5Blue};{(1,Blue).(2,Blue).(3,Blue).(4,Blue).(5,Blue)};{(6,Blue)}
{2Blue3Blue4Blue5Blue6Blue};{(2,Blue).(3,Blue).(4,Blue).(5,Blue).(6,Blue)};{(7,Blue).(1,Blue)}
{3Blue4Blue5Blue6Blue7Blue};{(3,Blue).(4,Blue).(5,Blue).(6,Blue).(7,Blue)};{(8,Blue).(2,Blue)}
{4Blue5Blue6Blue7Blue8Blue};{(4,Blue).(5,Blue).(6,Blue).(7,Blue).(8,Blue)};{(9,Blue).(3,Blue)}
{5Blue6Blue7Blue8Blue9Blue};{(5,Blue).(6,Blue).(7,Blue).(8,Blue).(9,Blue)};{(10,Blue).(4,Blue)}
{6Blue7Blue8Blue9Blue10Blue};{(6,Blue).(7,Blue).(8,Blue).(9,Blue).(10,Blue)};{(11,Blue).(5,Blue)}
{7Blue8Blue9Blue10Blue11Blue};{(7,Blue).(8,Blue).(9,Blue).(10,Blue).(11,Blue)};{(12,Blue).(6,Blue)}
{8Blue9Blue10Blue11Blue12Blue};{(8,Blue).(9,Blue).(10,Blue).(11,Blue).(12,Blue)};{(13,Blue).(7,Blue)}
{9Blue10Blue11Blue12Blue13Blue};{(9,Blue).(10,Blue).(11,Blue).(12,Blue).(13,Blue)};{(8,Blue)}
{1Orange2Orange3Orange4Orange5Orange};{(1,Orange).(2,Orange).(3,Orange).(4,Orange).(5,Orange)};{(6,Orange)}
{2Orange3Orange4Orange5Orange6Orange};{(2,Orange).(3,Orange).(4,Orange).(5,Orange).(6,Orange)};{(7,Orange).(1,Orange)}
{3Orange4Orange5Orange6Orange7Orange};{(3,Orange).(4,Orange).(5,Orange).(6,Orange).(7,Orange)};{(8,Orange).(2,Orange)}
{4Orange5Orange6Orange7Orange8Orange};{(4,Orange).(5,Orange).(6,Orange).(7,Orange).(8,Orange)};{(9,Orange).(3,Orange)}
{5Orange6Orange7Orange8Orange9Orange};{(5,Orange).(6,Orange).(7,Orange).(8,Orange).(9,Orange)};{(10,Orange).(4,Orange)}
{6Orange7Orange8Orange9Orange10Orange};{(6,Orange).(7,Orange).(8,Orange).(9,Orange).(10,Orange)};{(11,Orange).(5,Orange)}
{7Orange8Orange9Orange10Orange11Orange};{(7,Orange).(8,Orange).(9,Orange).(10,Orange).(11,Orange)};{(12,Orange).(6,Orange)}
{8Orange9Orange10Orange11Orange12Orange};{(8,Orange).(9,Orange).(10,Orange).(11,Orange).(12,Orange)};{(13,Orange).(7,Orange)}
{9Orange10Orange11Orange12Orange13Orange};{(9,Orange).(10,Orange).(11,Orange).(12,Orange).(13,Orange)};{(8,Orange)}
